node1,node2,Class Label
4408,2125,1
875,2125,1
1040,2125,1
4702,2125,1
4051,1403,1
647,2125,1
3230,4068,1
2738,4654,1
4603,4654,1
847,4654,1
4276,3269,1
21,4654,1
3943,4654,1
2166,4654,1
4257,4654,1
750,4654,1
5009,4654,1
2746,4654,1
1223,4654,1
405,4654,1
3050,4654,1
1274,4654,1
766,4654,1
343,4694,1
4466,1098,1
2320,908,1
4005,908,1
4603,908,1
384,908,1
2102,3269,1
4614,908,1
3871,908,1
5166,908,1
908,4229,1
4861,908,1
4408,908,1
4872,4113,1
314,908,1
1040,908,1
5102,908,1
5302,908,1
3774,908,1
3582,908,1
1016,1354,1
21,1354,1
1058,1354,1
4742,4806,1
4869,425,1
5028,425,1
5317,1484,1
3160,5434,1
507,4458,1
2246,4458,1
3084,4458,1
2584,4458,1
1213,194,1
3730,194,1
5344,194,1
762,194,1
2494,2605,1
1647,2605,1
814,2582,1
2738,2320,1
556,2320,1
4614,2320,1
2320,1257,1
2006,3319,1
2784,2320,1
2320,21,1
1196,2320,1
2320,1234,1
712,2320,1
3798,2320,1
295,2320,1
2320,678,1
4404,2320,1
4246,2320,1
676,2320,1
230,2320,1
4941,2320,1
3008,2320,1
2177,1345,1
765,1345,1
4356,1345,1
2131,1345,1
3889,1345,1
4386,1345,1
3144,1345,1
4466,1345,1
4795,1345,1
4614,1088,1
4023,1345,1
3567,1345,1
2725,1345,1
2835,1345,1
3849,1345,1
3392,1088,1
3826,1345,1
3117,1345,1
5182,1345,1
2368,1345,1
3818,1345,1
1259,1345,1
453,1345,1
564,1345,1
263,1345,1
3814,1345,1
1089,1345,1
2650,1345,1
2986,1345,1
85,1345,1
2502,1345,1
4556,1345,1
1472,1345,1
4077,2933,1
2835,2933,1
3826,2933,1
1259,2933,1
85,2933,1
2835,3992,1
3826,3992,1
564,3992,1
1472,3992,1
415,4077,1
2296,2177,1
433,2177,1
4255,558,1
3498,4192,1
2174,4192,1
872,4192,1
1258,4116,1
4795,4116,1
3140,2062,1
3498,4116,1
2615,4116,1
2174,4116,1
872,4116,1
4077,3005,1
3849,3005,1
1259,3005,1
4346,4088,1
4603,2738,1
2012,2738,1
5103,2738,1
4046,2738,1
1257,2738,1
2355,2738,1
21,2738,1
2494,2738,1
712,2738,1
4477,2738,1
2166,2738,1
5009,2738,1
314,2738,1
4949,2738,1
645,2738,1
1040,2738,1
2567,2252,1
1817,2738,1
1055,2738,1
1159,2738,1
3381,2738,1
4337,2738,1
3611,2738,1
121,2207,1
3300,2207,1
4319,2207,1
1691,2207,1
2009,2207,1
4526,2207,1
471,2207,1
1243,2207,1
5492,2207,1
2647,2207,1
3556,2207,1
2485,2207,1
5470,2207,1
2470,2207,1
1000,2207,1
307,2207,1
1170,2207,1
4297,2207,1
2707,546,1
2013,4504,1
2562,1045,1
4761,3264,1
665,2425,1
4764,5428,1
4782,1326,1
3391,3230,1
822,4504,1
415,5366,1
3257,3687,1
765,3687,1
4386,3687,1
3144,3687,1
792,3687,1
2368,3687,1
4854,3687,1
134,3687,1
4370,3806,1
3917,4370,1
3819,5484,1
4036,5484,1
4313,5484,1
4313,3819,1
3141,4885,1
4044,2798,1
1244,113,1
4281,1775,1
2031,1775,1
1026,1775,1
1814,1775,1
5182,1775,1
2368,1775,1
380,1775,1
4322,1775,1
2518,1775,1
1649,2798,1
3526,628,1
3261,4005,1
1422,2798,1
5324,4005,1
3656,4005,1
2266,4005,1
4046,4005,1
3361,4005,1
2355,4005,1
1016,4005,1
401,4005,1
5345,4005,1
712,4005,1
3798,4005,1
3767,4005,1
4576,4005,1
314,4005,1
1635,4005,1
273,4005,1
5170,4005,1
2228,3490,1
2672,4005,1
4429,4005,1
3119,4005,1
2266,1791,1
5323,1791,1
2718,228,1
271,228,1
3261,4603,1
3016,4603,1
2012,4603,1
4185,4603,1
24,4099,1
447,4603,1
4046,4603,1
992,4603,1
2315,4603,1
1016,4603,1
21,4603,1
3798,4603,1
4371,4603,1
5009,4603,1
2746,4603,1
405,4603,1
4246,4603,1
3036,4603,1
5170,4603,1
5444,4099,1
1640,4603,1
3268,462,1
4398,4099,1
3357,240,1
863,2510,1
3727,4208,1
1518,4208,1
2437,4208,1
4940,4208,1
4441,4208,1
5353,3268,1
4455,4728,1
3459,3268,1
1680,3268,1
869,4728,1
530,3268,1
3215,4610,1
3362,5353,1
863,5353,1
688,5353,1
2080,5353,1
4582,3362,1
688,3362,1
3603,4610,1
256,3362,1
3362,2297,1
765,1311,1
688,1311,1
688,2701,1
4523,4610,1
3016,3261,1
384,3261,1
4124,3261,1
1672,3261,1
2494,3261,1
3227,3261,1
782,3261,1
3493,3261,1
4255,3261,1
3016,5407,1
384,5212,1
4614,5212,1
4046,5212,1
531,5365,1
1680,5365,1
5041,5365,1
3798,5365,1
2368,4610,1
5135,5365,1
2479,5365,1
1672,3016,1
1475,4610,1
651,3016,1
314,3016,1
4255,3016,1
1079,3016,1
1680,556,1
3240,2226,1
2839,5226,1
156,5226,1
2080,2728,1
3151,2728,1
3257,3907,1
4523,3907,1
2729,3907,1
4081,3907,1
2861,3907,1
1077,3907,1
1724,3907,1
1319,3907,1
2533,1947,1
780,3727,1
632,3727,1
5243,3727,1
1790,837,1
5192,3727,1
4611,3727,1
5173,3727,1
3678,5230,1
4808,5402,1
667,5402,1
2543,5402,1
887,3892,1
3046,3892,1
476,442,1
3972,3376,1
765,716,1
2239,716,1
4523,716,1
1144,716,1
4778,716,1
2729,3257,1
4710,3257,1
2632,3257,1
2348,3257,1
1613,3257,1
1144,3257,1
1099,3257,1
4486,3257,1
2368,3257,1
1904,3257,1
1363,3257,1
1077,3257,1
4732,3257,1
4322,3257,1
2398,3257,1
3207,3257,1
4849,3257,1
2512,3257,1
3549,3257,1
