node1,node2
1157,2223
2087,4112
1555,4736
4200,4280
1504,4620
3267,5078
2793,5183
3012,5210
3392,4340
1345,1392
860,2025
853,4765
4585,4817
379,3214
4540,5312
4090,4504
4863,5388
223,1641
549,4133
242,3332
1184,2605
3046,4485
100,1843
538,1959
859,2089
1987,2200
2751,3134
2346,2780
1110,1356
1894,4195
2410,3960
27,1231
215,4604
323,4562
142,5259
1933,4516
4678,5486
1975,4335
985,3346
623,2171
1515,2512
832,2459
2438,3744
4002,5144
1398,4282
2489,4278
2086,2855
1544,3547
3571,4382
2668,4967
406,2717
1666,5130
3179,3417
766,2435
1922,5142
1430,2620
253,3815
3644,4143
661,1284
3595,3957
2081,5469
713,4612
1980,2911
3036,4261
847,1272
1370,3027
3388,4996
1352,2873
1828,3732
1989,4464
486,5026
2864,4779
822,4435
4000,4114
1891,4349
3905,4227
1722,3150
29,4025
2614,2682
451,4460
2380,4854
277,3461
762,3524
2906,3032
459,4633
2471,4624
840,985
3102,5409
3009,5161
1697,2251
2359,2859
4068,4473
105,1445
2201,4482
723,2455
677,2438
1909,5244
1311,2889
504,4574
2271,4822
1672,2832
753,1210
315,3510
489,4368
4491,4622
2859,4802
17,1676
505,4358
1074,2327
1729,2597
896,2190
894,1054
3651,5251
785,2173
2607,2989
2057,4890
2861,3680
2272,2727
2852,4870
2640,3877
1459,3417
899,2186
1728,3734
50,3634
1827,2696
854,3032
1672,1934
4250,5264
381,1341
1532,3129
2954,4369
4149,4982
690,3157
3018,4950
3312,5407
3116,4372
2081,4933
48,1480
2873,4991
2060,4896
408,2954
910,2304
1652,2768
402,572
1438,3268
2041,4066
1076,3641
1594,2749
1782,2792
1698,4204
1969,2694
917,5457
1268,1730
1980,5218
1939,5215
136,4013
543,5234
248,1876
2430,5057
1129,1947
183,4322
575,4619
158,2346
3604,3909
1302,1947
517,4964
655,3139
704,1152
819,3889
1801,4238
4075,4125
3120,5016
195,4502
1289,3005
1356,1815
715,5224
1450,2986
2102,3831
187,1501
608,4650
1808,3139
1552,2326
1071,2030
1516,2464
120,276
3819,4995
552,5169
4278,4646
2220,5110
138,4029
3543,4354
523,4676
1823,2117
3933,5468
1820,5212
1297,1674
120,4401
409,2152
300,2692
2252,4381
1099,5350
1518,2125
1697,5202
3865,4989
1887,2409
568,4006
909,1279
496,1640
2196,3151
1374,4387
1254,4449
4161,4486
2308,2936
1119,1130
2226,2489
114,5315
3062,3078
2315,3444
1373,3646
173,1544
345,5092
1798,4299
2547,4745
1339,1748
1507,4597
2214,3910
190,4769
681,2210
2350,3766
1352,4742
1412,3683
462,3031
2190,5476
2,4846
787,2662
101,3429
2016,2572
4621,4723
231,5016
1195,1769
74,1878
3006,3910
4293,5262
2373,2867
2947,4973
278,5387
1903,1998
1421,4950
108,334
3413,4345
1377,2605
4200,5496
4257,5082
3158,3635
60,3330
2006,3074
963,5354
274,1951
1559,2450
1084,2131
3317,5322
2775,3728
1092,1747
986,2395
802,3804
3136,3669
237,3087
2042,2434
3901,4095
4664,5403
268,3314
2825,3041
1236,3275
3297,5233
767,2699
2438,3377
4387,4565
3595,4799
4486,4947
2490,3186
4426,4925
3574,5098
1382,1570
2814,2853
2662,5109
2597,3176
389,5040
1216,1657
253,3382
138,4944
817,4496
1050,2388
2178,3235
1499,1508
152,4554
2196,3905
696,4278
1124,2107
1986,2355
1339,5067
2923,3943
969,3902
4007,4189
2844,4697
814,1576
2762,5239
2019,3468
474,4456
927,1411
650,4203
871,1574
1406,5211
1496,4449
31,1708
1361,4372
3648,3984
3851,5391
425,1494
2893,5364
3280,3622
1767,5441
3033,4946
1510,3705
2042,5114
