node1,node2
Q8IZJ1,Q86U42
P04049,Q9BVP2
Q9BPW8,Q8N3Y1
Q9BVP2,P09429
Q99996,Q8IU81
P17600,O43513
Q13485,P21810
Q16656,O75150
P17600,P41273
O60826,P04229
Q9UPY6,Q8IZJ6
P61981,P04229
Q9UPY6,P01892
Q07352,P46019
P11362,Q8TF05
P01106,P49815
P29376,P46776
O43390,Q8IVI9
P16615,Q96DE5
O00329,Q6P1N0
P54253,P49815
O94973,Q92797
Q07352,Q13887
Q68CP9,Q92917
Q6GQQ9,P51149
P51532,Q9H6Z4
P45379,Q6PJG6
Q9UPY6,O95977
P35638,P46776
P28074,P53567
Q5VVQ6,P42679
Q9H6T3,O75170
P51681,Q13887
P51149,P32239
Q9UER7,Q15744
P09619,Q96DE5
P15941,Q96AX1
Q05516,P04229
Q9UPY6,Q9H8T0
Q14004,Q14498
Q9BUQ8,Q9H270
O75832,P23582
Q09013,P29459
P61289,Q9UPY6
P17600,Q96DE5
Q99996,Q6P1N0
Q96B97,P41180
P61289,Q86U42
Q13158,P15927
Q9C026,Q13485
Q13485,O14920
Q96PB7,P15941
Q9GZY0,Q9UK97
P11473,Q9NR55
P24539,Q96DE5
P16615,Q13127
P29376,Q8TEP8
Q9NRR4,O00548
Q9H6T3,Q12873
Q9NTI5,Q96DE5
P45379,P07947
Q07352,Q9P253
Q13485,O75030
Q9NSE2,P04229
Q92519,O75179
P01106,Q9UBU8
Q9UBZ9,Q13485
Q6GQQ9,P29376
P46734,Q9UK53
Q6P2Q9,P05549
P45379,Q9NZN5
Q13625,Q9NSE2
Q7Z569,Q9NPC6
P16234,P37173
P49841,P48730
