node1,node2
O75914,Q9NVU0
Q96T76,O43663
Q9H8Y8,O00512
P31150,Q9Y2D1
P07225,P49768
P36542,O00273
Q9Y345,P18615
P04075,Q9NZU7
Q92854,Q14011
P05412,Q9NX08
Q14527,P28062
O14497,Q8NFJ9
Q13309,Q13332
Q8WXX7,Q99598
Q96B02,P03973
Q96JM3,Q96MH2
Q53T94,P10301
Q9UI08,Q08AG7
Q13573,Q8WUF5
O15371,P59780
O75340,Q9UHD9
Q99750,Q8NCE0
P31751,Q9Y6D9
Q96QB1,O60264
Q86UQ8,Q9Y535
Q9Y574,P50914
Q9Y6X3,Q9UL63
Q9H6Y7,Q8TBB1
Q6PGQ7,P49810
P40692,O43189
P63151,P52701
Q9BYG4,Q9UBI6
Q9Y6R0,Q9UK97
Q8WX93,Q9H0E2
Q01844,Q9NW08
Q96J84,Q16548
P51813,O15392
O95429,Q08043
Q6IQ32,P30499
P54727,P19404
Q9UPT6,Q09028
Q9H0H5,Q9BZE9
Q86UR5,P55795
P53355,P61204
P08574,Q8WVM8
P43489,P29692
O14818,Q8WW38
Q9Y333,O14662
Q99569,Q9UJV9
O95817,P49761
P16471,Q6GPH4
Q96KR7,Q5D1E8
Q9NPY3,Q5U5X0
Q99469,Q9H5I1
O75563,P15884
P24593,Q96QF0
O75367,Q9HB90
O15162,Q9Y692
Q86U86,Q96DX5
P48145,Q7Z5K2
Q7Z417,P31314
Q9Y6W3,P15918
Q13595,Q9H4E5
P25963,O43164
Q13283,Q00534
Q3KNV8,P31483
Q5VVQ6,Q86Y01
Q99594,Q6PGQ7
P47224,P98160
Q6ZW49,P17152
Q9BYV2,O95475
P61328,P07814
P55316,Q96M61
Q6NUP7,Q9NUX5
Q00577,O75334
P32302,Q9NVX0
P05120,Q96NY7
Q9UBQ0,P15813
P01127,O60716
Q9NS37,P51617
Q96JH7,Q8WVM7
P07814,P24278
Q96JZ2,Q9NS28
O75147,P31321
P13796,Q9UHA4
O00555,O75144
Q6EEV6,P01023
O75771,P49639
P16035,Q16777
Q92956,Q13277
Q2M1K9,P20827
Q9NY33,P49450
Q05193,P20936
Q99958,P09622
P08758,Q09028
P07101,P78371
P18583,O95278
Q6SA08,P31483
P01127,Q13568
Q9Y5P8,P00533
Q29983,Q96I99
Q96CW1,Q13867
Q9BTT4,P20023
Q02750,Q96A56
Q86XR7,Q9UQE7
Q13651,P04085
P61604,Q9Y2Y9
O14818,Q9NQC1
Q9H5I1,O00470
Q9UBC3,Q6VMQ6
P60880,Q16832
P22415,Q9H257
Q9BT25,Q86V97
O60486,Q00536
Q13319,Q86Y82
Q15554,Q14318
Q99569,Q15208
Q5SW96,O95249
Q14738,O15304
P78396,Q13563
O95365,O14862
P50570,P31751
Q08379,P27658
O76003,Q13563
O95619,Q96FV9
Q99856,P09493
Q9UJT2,Q8WVY7
Q8IYD8,Q13887
Q9BU64,P04150
Q96PU8,Q92882
Q06418,Q05682
P0C0L4,Q14681
Q12789,Q6ZRV2
Q9UKT5,Q86U06
Q03519,Q9H6Z4
Q9NW08,Q96QC0
Q8N729,P25787
O75969,P06396
Q9Y2X7,Q13554
P61254,Q8IXQ6
Q92886,P16284
P26006,Q96AH0
Q13111,Q13619
P12830,P04626
Q9BYV2,P16278
Q9P2W9,P25789
Q9H2X0,P98177
Q9UGP5,Q99698
O75081,Q9HBI0
O76070,Q9GZY6
P08571,Q15762
Q15750,Q96SN8
P17936,P48382
Q9UNS1,Q9UK53
P49207,Q8TD08
O95352,O15230
P14770,Q01844
P20138,O60488
Q16288,Q15831
P43220,P18510
O14618,Q9BWU0
Q93052,Q8TAA9
O43889,O15205
Q9UKK3,Q969T4
Q9UGI0,Q99697
P02766,O95400
Q99469,Q92585
Q9C0C7,Q09470
Q9UHA4,Q16851
Q9NQS7,Q96LR5
Q8IY63,P08887
Q9Y210,O43815
Q15723,Q86WT1
O00253,Q12972
Q92800,Q969T4
Q86SQ0,O75934
O94973,Q9H9A7
Q15653,P32239
P55789,Q96KN7
Q9NRF9,Q9UQE7
P53367,P19387
P31150,P02745
Q14289,P02511
P22087,P53567
Q92922,Q13451
P60981,P52735
P36575,Q969R2
P48645,Q13635
O60566,P08047
Q96RR4,O43482
P35611,P05771
P08238,Q6P2E9
Q9Y6B7,O00220
P53680,Q9UER7
Q14160,Q9Y2Q5
Q9BQF6,Q969G3
Q8NHL6,P23142
Q969T9,Q9Y5K5
Q15834,Q93063
Q04756,P40937
Q9BYG4,Q9H2X3
Q96SN8,P40939
P43489,P48167
Q9UK53,O94985
Q9UBX5,Q15291
Q9NPJ8,Q15596
P10145,P32971
P60520,P21980
Q96LR5,Q7Z412
P31321,P13945
O43157,Q9UGI9
O95677,Q14192
Q9UI10,Q9P086
Q9ULT8,O75449
P08571,Q7Z417
Q8TF46,Q9NW08
O14733,Q96B97
Q99496,Q9BRQ0
Q14457,P61978
Q9NTX7,P55347
P52298,P62244
P62995,P30989
Q13586,O43681
Q9H0E3,O00567
Q75N03,P08138
Q8NAV1,Q05513
Q9NWT6,P48382
P22695,Q9Y2Y9
P54829,Q9Y343
O15068,P23945
Q5JSH3,P60842
Q8NB46,Q99615
Q03188,Q7Z4S6
Q8NC51,Q5JVS0
Q14160,Q9Y3M2
Q15287,Q96F07
Q99728,Q9UJX2
Q14011,P41227
Q14674,Q86X29
Q9GZR2,Q9UBC2
Q8IZJ4,P23297
Q9UHW5,Q9UL63
O43927,Q8N5M1
P30679,Q9UKY1
Q9Y295,Q14004
Q8N668,Q8WVK2
Q13099,P24385
Q9BUB5,Q9GZV5
P22459,Q12830
O43186,P15813
P11441,Q13474
Q13428,P62508
Q9H633,O15520
O14924,Q00577
Q13562,Q9HCS7
Q68D85,P30989
P12544,Q96BR1
Q9GZQ4,Q07890
Q8N3Y1,P01023
Q9UNK0,Q9UHD2
P43358,Q13283
P29323,Q9UL63
Q16799,Q9H211
P31629,Q9UNF0
Q14686,Q02297
Q9UGM3,Q13351
O95696,P02788
P19474,P10827
Q8WV28,Q16531
P21741,Q8TAQ2
O60884,Q96B67
Q96CN9,Q8N729
Q99816,Q08881
P23508,Q9H6Q3
P57087,P07998
Q9H944,P01100
Q12947,P09622
Q16595,P15880
Q13470,O95402
Q13416,O75369
Q9BW27,P10124
Q13098,P61619
Q9BT67,P29460
Q6P1J9,O94817
O14713,Q96SD1
P33076,P25208
P51957,Q9UBN4
Q9H467,O14654
P35052,Q6ZNE5
Q9NRP7,Q9H6R0
Q15334,Q9P2K3
P22570,Q96IT1
P02652,Q7Z6E9
O43307,Q9H2G4
Q9UP83,P61086
O15078,P55039
Q92887,Q02388
Q9NWV8,Q9NVK5
Q9UIU6,P05556
Q86VP1,P15884
Q9UGJ0,O00763
P02792,P55199
Q96FX7,Q9C0C9
Q53GS9,P19388
Q99700,Q15120
Q9UHF0,Q9Y2K6
P26045,P17706
Q9H269,Q7Z406
P49137,Q14566
Q8WUI4,P51790
P19634,Q13546
P56962,P08962
Q676U5,Q8N3U4
Q14865,Q8TEB1
O60664,Q969H4
P50150,Q96QB1
Q9NV44,Q9UI12
P30622,Q00526
P30304,P12931
Q13287,Q9UPN3
P02760,Q9UJU6
Q9UHV8,Q9H147
P46060,Q96EP0
Q9NRG4,P17535
P02795,P78406
Q9BQA1,P04628
P20719,Q96KR1
Q9Y2W1,P51684
P02743,Q16478
Q86YV9,Q8IZD9
Q93034,P20702
P22314,Q9NT62
Q9P246,Q8IWY9
O75864,P41743
Q92870,Q8WXE1
Q08379,Q8WX92
Q8WUP2,Q53HL2
P62837,Q16666
Q9UJA5,P22301
P30443,P54132
P60228,P78364
P15822,P42772
Q9BXM7,Q86TM6
P16871,Q01082
P43626,Q96JC9
Q8WYK2,Q9H8V3
Q9NQ29,P10827
P02747,Q12802
Q9Y345,Q9UBT6
P08253,P05108
P01042,P16035
P51003,Q96NY9
Q9ULZ3,Q96E14
Q9UJX4,Q92574
P16591,Q8IZP0
P49682,O75695
Q9NZW5,Q8WXE1
P29597,O95475
O75940,P36897
Q9C026,Q9UFF9
O43542,P15018
P04070,Q9NW38
P62191,Q9NVR7
O43752,Q9NW38
Q99502,P29466
Q9Y2W1,P62491
Q9UNL4,P50616
P23511,Q9P2G9
P35249,Q13404
Q9GZQ4,P33993
P98082,Q53EL6
Q8WZ19,Q86T24
P16220,P21817
Q9BTW9,Q9BU64
Q93052,P46821
P20809,Q12905
Q13616,Q6S5L8
Q6AHZ1,Q9ULR0
Q92574,Q15562
Q9UBP6,O43432
Q9C0C7,P30281
Q9BQQ3,Q16288
P46934,P52434
P78556,P01375
Q99570,P43686
O43379,P68032
O15068,Q9Y3C6
P63151,Q15349
Q96P71,Q5SW79
Q13769,Q13901
P49137,Q15428
P78356,P46379
Q04864,Q9BXW9
Q96T76,Q13224
Q02790,P42336
Q15650,O15553
Q9NQ25,Q8TF42
Q9UJA5,Q13555
O60256,Q9UMZ2
Q8WZ19,Q9BW11
O15126,Q92918
Q15633,Q6ZU15
Q9UBF1,O75717
P35611,Q5JY77
P60228,Q00534
Q71F23,Q15562
P0DPH7,Q96JN8
P23771,Q9BQ67
Q92629,Q9BRQ0
Q01844,Q9UBP0
Q9BUB5,Q29RF7
Q04656,P13224
Q9NQC7,Q14678
O75643,P18433
Q9NRF2,P13569
Q09019,O43683
P05362,Q9Y2V0
P48745,Q15038
O00471,Q9NPD8
P49767,Q9UKT4
Q99496,Q13542
Q8WYQ5,Q9Y5V3
P20809,P41002
O14907,O43491
Q8NFH3,Q9H1D0
Q96CW1,P21453
Q9Y4E8,Q19AV6
Q8NBZ0,Q96RT8
O75144,P62195
O43583,P07315
P16152,P25787
P50750,Q3KNV8
Q68CZ2,Q9Y2Y0
Q9BWT7,Q9NR77
Q96II8,Q96P70
Q13387,Q13416
O75439,P23945
O14599,Q13563
Q05066,P43026
P09917,P02774
P20366,Q9Y3Y4
Q9BW83,Q15366
P13747,P39060
Q86YS3,P55199
P24534,Q14691
Q8WVK7,P08754
Q99467,P00488
Q9H4E7,Q969H6
P22674,Q06546
P16403,O00463
P24592,Q9HAW0
Q9H0A8,P61163
O75563,Q13637
O00241,Q12769
O75947,O75695
O00186,O75525
Q8IZJ1,Q86U42
Q14691,O00311
P08246,Q99714
Q14004,P62633
P01130,P35916
P20336,Q9UPS6
O75179,O14492
Q9HAF1,P52298
Q92974,Q9P2D1
P29084,O60830
Q13422,O75553
Q9UJ41,P08514
P62714,Q9NYB0
Q9UJF2,Q71SY5
O60516,P15172
Q9UI47,P78556
Q8WUF5,P51532
P52655,Q7Z465
P21127,P54098
Q8N5Z5,O15511
O15355,P25789
Q96JZ2,P35080
P24588,Q9UL03
Q5T2W1,Q06455
P23771,Q7Z6B0
P04626,Q5JY77
O43586,O14920
O15527,Q6ZTQ3
Q9BXL5,Q99471
P51948,Q9Y2X3
Q99665,P63096
Q15369,P24941
P16471,Q15365
P16152,Q6VAB6
Q15170,Q9UKA2
Q9UBQ0,Q9GZQ4
Q02543,Q13163
Q8N5H7,Q71F23
P31153,Q9UPM8
Q86U06,Q7Z4S6
Q00536,Q92730
Q99967,Q96KJ9
Q14749,Q02078
O15488,Q96AX1
Q00872,Q99062
P01034,O75663
O43734,Q5TD97
Q9HBI1,Q9UBY9
Q99569,Q9BXK1
Q14116,Q9BSM1
Q9UKI2,Q13351
Q969J5,P60484
Q9BQA1,Q9BUL8
Q7RTN6,P61254
P14543,Q8WVM0
P78347,Q5VWX1
P42229,Q14011
Q96GD4,P42226
P19022,O43390
O15360,Q9UNY4
Q9Y265,Q96BD8
Q9UQK1,P20810
P84996,Q8IYJ3
Q9BX66,Q3ZCQ8
P24941,P06734
O00472,Q9H9C1
Q8NEU8,P45379
P62166,P05023
Q01543,Q9UQN3
P24539,P34932
Q9H3P2,O14654
Q8NHY5,Q14197
Q9P000,Q96AX1
Q16611,Q8IX90
Q7Z589,P43146
Q6ZNE5,Q9Y6J9
Q8N2W9,Q00722
Q7Z6A9,P11308
Q9UBE8,Q2M2I8
P51116,P36542
Q7L2E3,Q9HCS4
Q9Y333,Q5T5X7
P51668,Q96EP0
Q9BW83,P52815
P11802,O15344
Q8IY92,Q13151
P78504,Q86SQ0
Q99967,P05783
Q9C0K7,Q9BXF6
Q96G25,Q99567
Q8IZH2,P42166
O43395,Q9UKL3
P30049,Q96A72
Q6GTX8,Q9BQ15
Q13444,P30281
O60884,Q96EQ8
Q16630,Q96FV9
Q9Y2Y1,Q86YR5
P62333,P26951
P27037,Q9NPC6
P26641,Q96I34
Q92466,P85299
Q9HBG7,Q99436
Q49AN0,P30086
Q96D46,P05230
P23921,Q9H4G0
Q9H869,Q7RTV0
Q9UBE0,Q33E94
O94763,P47874
O43172,Q15562
O43572,P00488
Q99973,P20337
Q9UK22,P35658
Q86U70,Q9Y6W6
Q8IYJ3,Q99661
Q7Z6M1,P61978
Q32MZ4,Q8NCM8
P02452,Q96BH1
P62195,Q14232
P13861,P08047
Q9UGP5,Q9P2K3
Q9UL33,P62906
Q9NRF2,P53618
Q9Y294,P67809
P35251,Q8WVB6
P04049,Q9BVP2
Q8TAP6,Q9HCJ0
Q07021,Q8NC51
O43353,Q8N5I2
Q8WXE1,Q9UKB1
Q9BVI0,Q9UBN4
P60604,Q96SW2
O43927,Q2TAY7
P60891,Q9NNW7
O43187,P14784
Q7L5Y6,Q9NW08
O95376,O75915
Q9BWU1,Q9NQ29
P05067,Q9NQC3
Q15120,Q96PM5
Q5T2W1,Q8IYD1
O75145,Q13485
Q13474,Q8WXH0
P08238,Q9UHW5
Q9BRP4,O95402
Q14103,Q01453
Q96DB2,Q14114
P55089,P48378
P11717,P20336
Q15628,Q9UJT2
Q6SA08,Q96CG3
P01889,Q96HR8
Q9BQ67,Q96NY9
Q8IZJ1,P49910
P53803,Q9GZZ9
P31350,P11166
O15503,P0DI81
O43927,Q92781
P33032,Q8WTR2
O14640,Q9NPD8
P49589,Q9Y3U8
Q6IQ32,P11940
O75643,P30101
P02686,Q9UK41
P54136,P35269
O75529,P19793
P20783,P01563
Q14141,O75817
Q9UKA4,Q96D46
Q15388,Q5T1R4
Q99684,P57678
