node1,node2
P07225,P49768
P36542,O00273
P04075,Q9NZU7
Q92854,Q14011
P05412,Q9NX08
O14497,Q8NFJ9
Q8WXX7,Q99598
Q96JM3,Q96MH2
Q13573,Q8WUF5
O75340,Q9UHD9
Q9Y6X3,Q9UL63
Q9Y6R0,Q9UK97
Q01844,Q9NW08
Q96J84,Q16548
O95429,Q08043
P08574,Q8WVM8
Q9NPY3,Q5U5X0
O75367,Q9HB90
Q86U86,Q96DX5
P48145,Q7Z5K2
Q7Z417,P31314
Q13595,Q9H4E5
Q3KNV8,P31483
Q5VVQ6,Q86Y01
P47224,P98160
Q9BYV2,O95475
P61328,P07814
Q00577,O75334
P32302,Q9NVX0
Q9UBQ0,P15813
Q96JH7,Q8WVM7
P07814,P24278
Q6EEV6,P01023
Q92956,Q13277
Q2M1K9,P20827
Q9NY33,P49450
Q99958,P09622
P07101,P78371
P18583,O95278
Q9Y5P8,P00533
Q86XR7,Q9UQE7
Q13651,P04085
O60486,Q00536
Q99569,Q15208
Q5SW96,O95249
O76003,Q13563
Q9UJT2,Q8WVY7
Q9BU64,P04150
Q12789,Q6ZRV2
Q03519,Q9H6Z4
Q9NW08,Q96QC0
Q8N729,P25787
P26006,Q96AH0
Q9P2W9,P25789
O75081,Q9HBI0
P14770,Q01844
P20138,O60488
Q16288,Q15831
O14618,Q9BWU0
Q93052,Q8TAA9
P02766,O95400
Q9Y210,O43815
Q15723,Q86WT1
Q86SQ0,O75934
P31150,P02745
P22087,P53567
Q96RR4,O43482
P35611,P05771
P08238,Q6P2E9
Q14160,Q9Y2Q5
Q9BQF6,Q969G3
Q8NHL6,P23142
Q969T9,Q9Y5K5
Q04756,P40937
Q96SN8,P40939
P43489,P48167
Q9UK53,O94985
P10145,P32971
Q96LR5,Q7Z412
O95677,Q14192
P52298,P62244
Q9H0E3,O00567
O15068,P23945
Q5JSH3,P60842
Q8NC51,Q5JVS0
Q14160,Q9Y3M2
Q15287,Q96F07
Q14011,P41227
Q14674,Q86X29
Q9GZR2,Q9UBC2
Q9UHW5,Q9UL63
O43927,Q8N5M1
P30679,Q9UKY1
Q8N3Y1,P01023
P31629,Q9UNF0
Q14686,Q02297
Q9UGM3,Q13351
O95696,P02788
O60884,Q96B67
Q16595,P15880
Q13470,O95402
Q13416,O75369
Q6P1J9,O94817
P51957,Q9UBN4
P35052,Q6ZNE5
Q15334,Q9P2K3
P22570,Q96IT1
O43307,Q9H2G4
Q92887,Q02388
Q9NWV8,Q9NVK5
Q9UIU6,P05556
P02792,P55199
Q9UHF0,Q9Y2K6
P26045,P17706
Q14865,Q8TEB1
O60664,Q969H4
P50150,Q96QB1
P30622,Q00526
Q13287,Q9UPN3
P46060,Q96EP0
Q9BQA1,P04628
Q9Y2W1,P51684
Q86YV9,Q8IZD9
Q9P246,Q8IWY9
O75864,P41743
P15822,P42772
Q9BXM7,Q86TM6
P43626,Q96JC9
P02747,Q12802
Q9Y345,Q9UBT6
Q9UJX4,Q92574
P16591,Q8IZP0
P49682,O75695
P04070,Q9NW38
O43752,Q9NW38
Q9Y2W1,P62491
Q93052,P46821
Q92574,Q15562
P46934,P52434
O43379,P68032
P78356,P46379
Q9NQ25,Q8TF42
O60256,Q9UMZ2
Q9UBF1,O75717
P35611,Q5JY77
Q71F23,Q15562
Q01844,Q9UBP0
Q8NFH3,Q9H1D0
O75144,P62195
P16152,P25787
P50750,Q3KNV8
Q96II8,Q96P70
Q13387,Q13416
O75439,P23945
Q9BW83,Q15366
Q9H0A8,P61163
O75947,O75695
O00186,O75525
Q8IZJ1,Q86U42
P08246,Q99714
Q14004,P62633
P01130,P35916
Q9UJF2,Q71SY5
O60516,P15172
Q8WUF5,P51532
P04626,Q5JY77
P51948,Q9Y2X3
P16152,Q6VAB6
Q86U06,Q7Z4S6
Q00872,Q99062
P01034,O75663
O43734,Q5TD97
Q9HBI1,Q9UBY9
Q9UKI2,Q13351
Q9BQA1,Q9BUL8
P14543,Q8WVM0
P19022,O43390
O15360,Q9UNY4
Q9Y265,Q96BD8
Q9UQK1,P20810
P24539,P34932
Q9P000,Q96AX1
Q16611,Q8IX90
Q7Z589,P43146
Q6ZNE5,Q9Y6J9
Q8N2W9,Q00722
Q7Z6A9,P11308
P51116,P36542
Q7L2E3,Q9HCS4
P11802,O15344
Q8IZH2,P42166
Q13444,P30281
Q9Y2Y1,Q86YR5
Q9UBE0,Q33E94
O43172,Q15562
O43572,P00488
Q8IYJ3,Q99661
Q7Z6M1,P61978
P02452,Q96BH1
P13861,P08047
Q9UL33,P62906
P04049,Q9BVP2
Q8TAP6,Q9HCJ0
Q07021,Q8NC51
O43353,Q8N5I2
P60604,Q96SW2
O43927,Q2TAY7
P60891,Q9NNW7
O43187,P14784
Q13474,Q8WXH0
Q96DB2,Q14114
P55089,P48378
P01889,Q96HR8
Q9BQ67,Q96NY9
Q8IZJ1,P49910
P53803,Q9GZZ9
P31350,P11166
O43927,Q92781
P49589,Q9Y3U8
P02686,Q9UK41
P54136,P35269
O75529,P19793
Q14141,O75817
Q15388,Q5T1R4
P38159,Q96JM3
P39086,O94829
P68543,Q15038
P28799,Q9UBU8
P19838,Q99952
Q15131,Q00975
Q9H2X0,P63146
P35227,O14958
Q9UMX0,O60683
Q16543,P09326
P22695,Q08345
O60741,Q04756
Q8IU60,Q9H0U4
P45985,P19532
Q13332,Q02548
P15374,Q9UM73
Q9BY77,Q2QGD7
Q9Y6Q9,O43427
Q14686,Q13557
P02743,Q9Y279
Q9UPT6,Q14106
Q5JY77,Q14676
O43196,Q13061
P02686,P62841
Q9GZQ3,Q13619
Q15532,P27824
Q9BUZ4,Q8WXA9
Q6P2Q9,Q08AG7
Q9UGJ0,P52435
Q15349,Q9UIF7
O43488,P29320
Q99819,Q9UJW0
P54577,Q07866
O15457,Q8IZT6
O60921,P23297
P78371,P10515
O15392,P35269
Q9H0N5,P84103
Q9H4I2,Q9NZU7
Q9UHD9,Q9NVF7
P14210,Q9HAP6
Q9H204,P29474
Q00577,O15457
Q8NCM8,P30460
Q9P246,Q8TEU7
P00374,P36404
Q33E94,P18510
Q9Y6B2,P78371
Q7Z465,P05156
Q15762,Q8NC69
Q969T4,Q8TEP8
Q9UBC3,Q04724
Q8NHY5,P30305
Q9H2X6,Q9H4B6
P08235,Q06413
P43146,O00628
Q16633,O43663
Q9H2S9,Q9H270
Q13127,Q19AV6
P54132,Q9BU64
P42773,Q15154
Q13501,Q5T1R4
P78347,P10515
Q9BPZ7,Q92781
P37173,Q99519
Q9Y4Z0,P06756
P38398,Q86UE8
P56645,Q9Y6W5
Q9BUL8,Q9Y508
P30626,Q9UM54
Q96DB2,P25024
Q9H074,Q9Y297
Q6P4R8,P35900
P52594,P20807
Q9UBE0,P62873
Q9NR55,P52657
P05161,Q99972
Q05086,O14770
P13611,Q00536
Q06587,Q9Y2A7
Q99814,P07237
Q9UKT7,P25189
Q92574,Q9BSV6
Q9NP98,O00151
Q9BWN1,P84103
Q92813,P40227
Q96A47,Q9H0E9
Q68EM7,Q9NP64
Q9H0N5,Q9BWU0
Q9NZW5,Q05682
Q8WWN9,Q9BPZ3
Q9BXL5,P36578
O43924,O14867
Q13200,Q2QGD7
P50749,P08684
Q9NQ25,Q9Y6X3
Q14241,P23297
Q13216,P14921
P26373,P42224
P26022,Q13352
Q8IZD4,Q12906
O43592,P01106
Q9UBC2,P51790
Q96MF7,O95297
P31483,P16104
Q99075,P60510
P11308,Q9UNH7
Q9NQ55,P62913
P10644,Q8N5F7
Q96BH1,P41273
Q6WKZ4,O00541
Q8N201,Q07866
Q8NHM5,O43264
P46019,Q92925
Q8NBZ0,Q9Y2D1
P57678,Q13451
P32245,Q9NZN5
P22695,O14745
Q9H081,P07951
Q9C005,P26374
Q9UBU8,Q9UHC6
P15813,O43597
Q14643,Q12874
O15553,P62508
P40926,P25800
O60486,P30556
P42261,Q96PF2
Q9NQC7,Q9Y508
Q86X29,O15516
O75525,P18433
P22695,Q9UH77
Q8IZJ1,Q9UKJ3
P33032,O00308
O95544,Q8IYD8
Q14957,P61077
Q15008,P57740
P48061,P36941
Q96IY4,Q6X4U4
O43307,P30260
O60232,Q96BR1
Q9UGJ1,Q8N3Y1
P19022,Q99075
P06870,P49591
Q15120,Q9UMZ2
Q9BPZ7,Q8IUH3
P61586,P56645
